Date : 2022-02-07 15:12:47
Directory : c:\xampp\htdocs\SurgeryAndWound
Total : 1102 files,  142768 codes, 61837 comments, 25596 blanks, all 230201 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| assets\img                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| assets\img\widget                                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| assets\js                                                                                                                                             |         16 |        397 |        186 |         52 |        635 |
| assets\webfonts                                                                                                                                       |          3 |      8,882 |         12 |          3 |      8,897 |
| config                                                                                                                                                |         15 |      3,946 |      2,819 |        661 |      7,426 |
| config\phpmailer                                                                                                                                      |          5 |      3,567 |      2,704 |        567 |      6,838 |
| doctor                                                                                                                                                |         42 |      5,574 |      1,505 |        535 |      7,614 |
| doctor\includes                                                                                                                                       |          3 |        161 |         14 |         43 |        218 |
| doctor\layouts                                                                                                                                        |          3 |        240 |          0 |         11 |        251 |
| doctor\uneeded                                                                                                                                        |         18 |      2,608 |        243 |        221 |      3,072 |
| helper                                                                                                                                                |          2 |        316 |         15 |         12 |        343 |
| patient                                                                                                                                               |         37 |      4,653 |      2,379 |        576 |      7,608 |
| patient\includes                                                                                                                                      |          4 |        297 |         30 |         71 |        398 |
| patient\layouts                                                                                                                                       |          4 |        366 |          5 |         30 |        401 |
| patient\new                                                                                                                                           |          2 |        238 |        319 |         41 |        598 |
| patient\uneeded                                                                                                                                       |         13 |      1,834 |        801 |        219 |      2,854 |
| research team                                                                                                                                         |         34 |      4,931 |      1,008 |        507 |      6,446 |
| research team\includes                                                                                                                                |          3 |        328 |         23 |         71 |        422 |
| research team\layouts                                                                                                                                 |          4 |        312 |          5 |         26 |        343 |
| research team\not_needed                                                                                                                              |         20 |      3,069 |        588 |        302 |      3,959 |
| script                                                                                                                                                |          2 |         99 |          2 |          6 |        107 |
| vendor                                                                                                                                                |        857 |     98,097 |     51,405 |     21,512 |    171,014 |
| vendor\box                                                                                                                                            |        146 |      7,561 |      5,647 |      2,340 |     15,548 |
| vendor\box\spout                                                                                                                                      |        146 |      7,561 |      5,647 |      2,340 |     15,548 |
| vendor\box\spout\src                                                                                                                                  |        142 |      7,378 |      5,647 |      2,289 |     15,314 |
| vendor\box\spout\src\Spout                                                                                                                            |        142 |      7,378 |      5,647 |      2,289 |     15,314 |
| vendor\box\spout\src\Spout\Autoloader                                                                                                                 |          2 |         67 |         72 |         26 |        165 |
| vendor\box\spout\src\Spout\Common                                                                                                                     |         27 |      1,172 |      1,114 |        366 |      2,652 |
| vendor\box\spout\src\Spout\Common\Creator                                                                                                             |          1 |         25 |         18 |          7 |         50 |
| vendor\box\spout\src\Spout\Common\Entity                                                                                                              |          7 |        618 |        450 |        178 |      1,246 |
| vendor\box\spout\src\Spout\Common\Entity\Style                                                                                                        |          5 |        458 |        313 |        128 |        899 |
| vendor\box\spout\src\Spout\Common\Exception                                                                                                           |          6 |         30 |         20 |         18 |         68 |
| vendor\box\spout\src\Spout\Common\Helper                                                                                                              |         10 |        455 |        582 |        144 |      1,181 |
| vendor\box\spout\src\Spout\Common\Helper\Escaper                                                                                                      |          4 |        118 |        156 |         40 |        314 |
| vendor\box\spout\src\Spout\Common\Manager                                                                                                             |          2 |         36 |         40 |         16 |         92 |
| vendor\box\spout\src\Spout\Reader                                                                                                                     |         54 |      2,990 |      2,277 |        932 |      6,199 |
| vendor\box\spout\src\Spout\Reader\CSV                                                                                                                 |          6 |        320 |        259 |         98 |        677 |
| vendor\box\spout\src\Spout\Reader\CSV\Creator                                                                                                         |          1 |         49 |         36 |         14 |         99 |
| vendor\box\spout\src\Spout\Reader\CSV\Manager                                                                                                         |          1 |         26 |         10 |          5 |         41 |
| vendor\box\spout\src\Spout\Reader\Common                                                                                                              |          6 |        232 |        154 |         66 |        452 |
| vendor\box\spout\src\Spout\Reader\Common\Creator                                                                                                      |          3 |        106 |         68 |         24 |        198 |
| vendor\box\spout\src\Spout\Reader\Common\Entity                                                                                                       |          1 |         12 |          7 |          5 |         24 |
| vendor\box\spout\src\Spout\Reader\Common\Manager                                                                                                      |          1 |         43 |         24 |         14 |         81 |
| vendor\box\spout\src\Spout\Reader\Exception                                                                                                           |          7 |         47 |         33 |         25 |        105 |
| vendor\box\spout\src\Spout\Reader\ODS                                                                                                                 |         10 |        669 |        483 |        204 |      1,356 |
| vendor\box\spout\src\Spout\Reader\ODS\Creator                                                                                                         |          3 |         90 |         71 |         28 |        189 |
| vendor\box\spout\src\Spout\Reader\ODS\Helper                                                                                                          |          2 |        185 |        119 |         48 |        352 |
| vendor\box\spout\src\Spout\Reader\ODS\Manager                                                                                                         |          1 |         19 |         10 |          5 |         34 |
| vendor\box\spout\src\Spout\Reader\Wrapper                                                                                                             |          2 |        113 |        102 |         40 |        255 |
| vendor\box\spout\src\Spout\Reader\XLSX                                                                                                                |         19 |      1,477 |      1,095 |        451 |      3,023 |
| vendor\box\spout\src\Spout\Reader\XLSX\Creator                                                                                                        |          3 |        161 |        105 |         42 |        308 |
| vendor\box\spout\src\Spout\Reader\XLSX\Helper                                                                                                         |          3 |        254 |        180 |         68 |        502 |
| vendor\box\spout\src\Spout\Reader\XLSX\Manager                                                                                                        |          9 |        704 |        533 |        230 |      1,467 |
| vendor\box\spout\src\Spout\Reader\XLSX\Manager\SharedStringsCaching                                                                                   |          4 |        180 |        210 |         65 |        455 |
| vendor\box\spout\src\Spout\Writer                                                                                                                     |         59 |      3,149 |      2,184 |        965 |      6,298 |
| vendor\box\spout\src\Spout\Writer\CSV                                                                                                                 |          2 |         72 |         54 |         22 |        148 |
| vendor\box\spout\src\Spout\Writer\CSV\Manager                                                                                                         |          1 |         21 |         10 |          5 |         36 |
| vendor\box\spout\src\Spout\Writer\Common                                                                                                              |         25 |      1,020 |        895 |        329 |      2,244 |
| vendor\box\spout\src\Spout\Writer\Common\Creator                                                                                                      |          6 |        269 |        227 |         84 |        580 |
| vendor\box\spout\src\Spout\Writer\Common\Creator\Style                                                                                                |          2 |        118 |        117 |         45 |        280 |
| vendor\box\spout\src\Spout\Writer\Common\Entity                                                                                                       |          4 |        138 |        109 |         52 |        299 |
| vendor\box\spout\src\Spout\Writer\Common\Helper                                                                                                       |          3 |        121 |        132 |         39 |        292 |
| vendor\box\spout\src\Spout\Writer\Common\Manager                                                                                                      |         12 |        492 |        427 |        154 |      1,073 |
| vendor\box\spout\src\Spout\Writer\Common\Manager\Style                                                                                                |          5 |        170 |        143 |         52 |        365 |
| vendor\box\spout\src\Spout\Writer\Exception                                                                                                           |          8 |         62 |         17 |         31 |        110 |
| vendor\box\spout\src\Spout\Writer\Exception\Border                                                                                                    |          3 |         36 |          0 |         15 |         51 |
| vendor\box\spout\src\Spout\Writer\ODS                                                                                                                 |         10 |        744 |        431 |        218 |      1,393 |
| vendor\box\spout\src\Spout\Writer\ODS\Creator                                                                                                         |          2 |         96 |         52 |         27 |        175 |
| vendor\box\spout\src\Spout\Writer\ODS\Helper                                                                                                          |          2 |        179 |        131 |         59 |        369 |
| vendor\box\spout\src\Spout\Writer\ODS\Manager                                                                                                         |          5 |        455 |        235 |        125 |        815 |
| vendor\box\spout\src\Spout\Writer\ODS\Manager\Style                                                                                                   |          2 |        240 |        124 |         64 |        428 |
| vendor\box\spout\src\Spout\Writer\XLSX                                                                                                                |         11 |      1,030 |        569 |        293 |      1,892 |
| vendor\box\spout\src\Spout\Writer\XLSX\Creator                                                                                                        |          2 |        124 |         61 |         31 |        216 |
| vendor\box\spout\src\Spout\Writer\XLSX\Helper                                                                                                         |          2 |        256 |        134 |         72 |        462 |
| vendor\box\spout\src\Spout\Writer\XLSX\Manager                                                                                                        |          6 |        630 |        353 |        180 |      1,163 |
| vendor\box\spout\src\Spout\Writer\XLSX\Manager\Style                                                                                                  |          2 |        338 |        183 |         95 |        616 |
| vendor\composer                                                                                                                                       |         11 |      1,777 |        379 |        154 |      2,310 |
| vendor\ezyang                                                                                                                                         |        245 |     17,084 |     10,124 |      3,342 |     30,550 |
| vendor\ezyang\htmlpurifier                                                                                                                            |        245 |     17,084 |     10,124 |      3,342 |     30,550 |
| vendor\ezyang\htmlpurifier\library                                                                                                                    |        243 |     17,036 |     10,124 |      3,331 |     30,491 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier                                                                                                       |        233 |     16,433 |      9,903 |      3,266 |     29,602 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrDef                                                                                               |         42 |      1,840 |      1,041 |        431 |      3,312 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrDef\CSS                                                                                           |         19 |        984 |        525 |        208 |      1,717 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrDef\HTML                                                                                          |         10 |        348 |        202 |         92 |        642 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrDef\URI                                                                                           |          5 |        173 |        112 |         45 |        330 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrDef\URI\Email                                                                                     |          1 |         13 |         13 |          4 |         30 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\AttrTransform                                                                                         |         22 |        460 |        332 |        121 |        913 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\ChildDef                                                                                              |          8 |        415 |        296 |         93 |        804 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\ConfigSchema                                                                                          |         10 |        562 |        323 |        129 |      1,014 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\ConfigSchema\Builder                                                                                  |          2 |        131 |         37 |         26 |        194 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\ConfigSchema\Interchange                                                                              |          2 |         41 |         84 |         24 |        149 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\ConfigSchema\schema                                                                                   |          1 |          1 |          1 |          2 |          4 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\DefinitionCache                                                                                       |          5 |        375 |        234 |         58 |        667 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\DefinitionCache\Decorator                                                                             |          2 |         84 |         64 |         17 |        165 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Filter                                                                                                |          2 |        219 |        167 |         22 |        408 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\HTMLModule                                                                                            |         35 |      1,194 |        606 |        273 |      2,073 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\HTMLModule\Tidy                                                                                       |          6 |        191 |         95 |         52 |        338 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Injector                                                                                              |          7 |        430 |        341 |         87 |        858 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Language                                                                                              |          1 |         47 |          2 |          7 |         56 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Language\messages                                                                                     |          1 |         47 |          2 |          7 |         56 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Lexer                                                                                                 |          3 |      3,423 |      1,549 |        696 |      5,668 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Node                                                                                                  |          3 |         57 |         72 |         23 |        152 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Printer                                                                                               |          5 |        588 |        166 |         85 |        839 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Strategy                                                                                              |          6 |        650 |        374 |        121 |      1,145 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\TagTransform                                                                                          |          2 |         92 |         51 |         17 |        160 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\Token                                                                                                 |          6 |         82 |        100 |         32 |        214 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\URIFilter                                                                                             |          7 |        272 |        172 |         51 |        495 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\URIScheme                                                                                             |          9 |        210 |        193 |         51 |        454 |
| vendor\ezyang\htmlpurifier\library\HTMLPurifier\VarParser                                                                                             |          2 |        122 |         40 |          8 |        170 |
| vendor\maennchen                                                                                                                                      |         28 |      1,761 |        880 |        512 |      3,153 |
| vendor\maennchen\zipstream-php                                                                                                                        |         28 |      1,761 |        880 |        512 |      3,153 |
| vendor\maennchen\zipstream-php\.github                                                                                                                |          2 |          8 |          0 |          7 |         15 |
| vendor\maennchen\zipstream-php\src                                                                                                                    |         16 |      1,031 |        844 |        250 |      2,125 |
| vendor\maennchen\zipstream-php\src\Exception                                                                                                          |          6 |         58 |         33 |         24 |        115 |
| vendor\maennchen\zipstream-php\src\Option                                                                                                             |          4 |        205 |        163 |         54 |        422 |
| vendor\maennchen\zipstream-php\test                                                                                                                   |          4 |        488 |         35 |        177 |        700 |
| vendor\maennchen\zipstream-php\test\bug                                                                                                               |          1 |         26 |          4 |         10 |         40 |
| vendor\markbaker                                                                                                                                      |         87 |      2,950 |      1,530 |        829 |      5,309 |
| vendor\markbaker\complex                                                                                                                              |         52 |      1,296 |        785 |        389 |      2,470 |
| vendor\markbaker\complex\classes                                                                                                                      |         46 |        894 |        785 |        281 |      1,960 |
| vendor\markbaker\complex\classes\src                                                                                                                  |         44 |        840 |        763 |        264 |      1,867 |
| vendor\markbaker\complex\classes\src\functions                                                                                                        |         37 |        468 |        558 |        179 |      1,205 |
| vendor\markbaker\complex\classes\src\operations                                                                                                       |          5 |        145 |         65 |         47 |        257 |
| vendor\markbaker\complex\examples                                                                                                                     |          3 |        176 |          0 |         67 |        243 |
| vendor\markbaker\matrix                                                                                                                               |         35 |      1,654 |        745 |        440 |      2,839 |
| vendor\markbaker\matrix\.github                                                                                                                       |          1 |         96 |          0 |         23 |        119 |
| vendor\markbaker\matrix\.github\workflows                                                                                                             |          1 |         96 |          0 |         23 |        119 |
| vendor\markbaker\matrix\classes                                                                                                                       |         29 |      1,225 |        739 |        343 |      2,307 |
| vendor\markbaker\matrix\classes\src                                                                                                                   |         29 |      1,225 |        739 |        343 |      2,307 |
| vendor\markbaker\matrix\classes\src\Decomposition                                                                                                     |          3 |        349 |         58 |         74 |        481 |
| vendor\markbaker\matrix\classes\src\Functions                                                                                                         |         10 |        120 |        140 |         49 |        309 |
| vendor\markbaker\matrix\classes\src\Operations                                                                                                        |          6 |        127 |         84 |         60 |        271 |
| vendor\markbaker\matrix\classes\src\Operators                                                                                                         |          6 |        221 |        117 |         61 |        399 |
| vendor\markbaker\matrix\examples                                                                                                                      |          1 |         23 |          0 |         11 |         34 |
| vendor\myclabs                                                                                                                                        |          6 |        316 |        181 |         85 |        582 |
| vendor\myclabs\php-enum                                                                                                                               |          6 |        316 |        181 |         85 |        582 |
| vendor\myclabs\php-enum\src                                                                                                                           |          2 |        142 |        179 |         40 |        361 |
| vendor\myclabs\php-enum\src\PHPUnit                                                                                                                   |          1 |         34 |         13 |          8 |         55 |
| vendor\phpoffice                                                                                                                                      |        293 |     62,478 |     31,275 |     13,873 |    107,626 |
| vendor\phpoffice\phpspreadsheet                                                                                                                       |        293 |     62,478 |     31,275 |     13,873 |    107,626 |
| vendor\phpoffice\phpspreadsheet\src                                                                                                                   |        289 |     61,859 |     31,275 |     13,658 |    106,792 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet                                                                                                    |        289 |     61,859 |     31,275 |     13,658 |    106,792 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation                                                                                        |         76 |     15,363 |      8,833 |      2,554 |     26,750 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Database                                                                               |         13 |        295 |        350 |         89 |        734 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Engine                                                                                 |          2 |         91 |        100 |         24 |        215 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Engineering                                                                            |         14 |      1,230 |        618 |        236 |      2,084 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Internal                                                                               |          2 |         40 |          1 |         11 |         52 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Logical                                                                                |          3 |        172 |        198 |         48 |        418 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\MathTrig                                                                               |         13 |      1,141 |        188 |        110 |      1,439 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Statistical                                                                            |         11 |        649 |        403 |        177 |      1,229 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Calculation\Token                                                                                  |          1 |         87 |         42 |         21 |        150 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Cell                                                                                               |         11 |      1,243 |        882 |        337 |      2,462 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart                                                                                              |         13 |      2,498 |      1,515 |        548 |      4,561 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Chart\Renderer                                                                                     |          2 |        694 |         52 |        148 |        894 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Collection                                                                                         |          3 |        317 |        190 |         94 |        601 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Document                                                                                           |          2 |        397 |        338 |        104 |        839 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Helper                                                                                             |          2 |        887 |        101 |         82 |      1,070 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader                                                                                             |         41 |     12,842 |      3,401 |      3,086 |     19,329 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Gnumeric                                                                                    |          1 |        106 |         11 |         27 |        144 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Ods                                                                                         |          2 |        224 |          2 |         47 |        273 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Security                                                                                    |          1 |        101 |         21 |         29 |        151 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls                                                                                         |         10 |        778 |        280 |        228 |      1,286 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Color                                                                                   |          3 |        164 |         21 |         15 |        200 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xls\Style                                                                                   |          2 |         63 |         16 |         12 |         91 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xlsx                                                                                        |         13 |      1,730 |        123 |        312 |      2,165 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Reader\Xml                                                                                         |          1 |        108 |          3 |         20 |        131 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\RichText                                                                                           |          4 |        160 |        153 |         48 |        361 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared                                                                                             |         38 |      5,746 |      3,389 |      1,179 |     10,314 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher                                                                                      |          7 |        338 |        416 |        111 |        865 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DgContainer                                                                          |          2 |        167 |        228 |         55 |        450 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer                                                            |          1 |        131 |        195 |         44 |        370 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer                                                                         |          3 |         77 |         85 |         24 |        186 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer                                                         |          2 |         62 |         70 |         19 |        151 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE                                                     |          1 |         23 |         30 |          8 |         61 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\JAMA                                                                                        |          7 |      2,189 |        822 |        298 |      3,309 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\JAMA\utils                                                                                  |          1 |         14 |         15 |          3 |         32 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\OLE                                                                                         |          4 |        465 |        374 |         88 |        927 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\OLE\PPS                                                                                     |          2 |        283 |        168 |         41 |        492 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Shared\Trend                                                                                       |          7 |        608 |        437 |        152 |      1,197 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Style                                                                                              |         15 |      2,860 |      1,798 |        657 |      5,315 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Style\ConditionalFormatting                                                                        |          4 |        419 |        122 |        132 |        673 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Worksheet                                                                                          |         25 |      4,390 |      4,152 |      1,169 |      9,711 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Worksheet\AutoFilter                                                                               |          2 |        413 |        329 |         89 |        831 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Worksheet\AutoFilter\Column                                                                        |          1 |        253 |        156 |         41 |        450 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Worksheet\Drawing                                                                                  |          1 |        119 |        136 |         35 |        290 |
| vendor\phpoffice\phpspreadsheet\src\PhpSpreadsheet\Writer                                                                                             |         47 |     13,028 |      5,076 |      3,313 |     21,417 |
